Url,Title,Purpose,Property_Price,District,Ad_Age_Date,Use Type
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5812750,شقة ب 3 غرف,للبيع,"1,300,000",الياسمين,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5812671,شقة ب 3 غرف,للبيع,"1,700,000",الياسمين,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5810245,شقة ب 3 غرف,للبيع,"1,150,000",الياسمين,2025-11-26,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5810237,شقة ب 3 غرف,للبيع,"1,550,000",الملقا,2025-11-26,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5813640,شقة ب 3 غرف,For Sale,"1,400,000",الملقا,2025-12-03,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801160,شقة بغرفتين,للبيع,"1,450,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801138,شقة ب 3 غرف,للبيع,"1,699,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5813495,شقة ب 3 غرف,للبيع,"1,200,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-300-متر-مربع-شرقية-على-شارع-15م-5810576,فيلا 300 متر مربع شرقية على شارع 15م,للبيع,"4,100,000",الياسمين,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-138-متر-مربع-ب-4-غرف-5812214,شقة 138 متر مربع ب 4 غرف,للبيع,"1,300,000",الملقا,2025-11-28,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5808888,شقة ب 3 غرف,للبيع,"1,420,000",الياسمين,2025-11-23,سكني
https://wasalt.sa/property/sale/فيلا-3125-متر-مربع-غربية-على-شارع-20م-5799473,فيلا 312.5 متر مربع غربية على شارع 20م,للبيع,"4,800,000",عرقة,2025-11-25,سكني
https://wasalt.sa/property/sale/شقة-ب-4-غرف-5807586,شقة ب 4 غرف,للبيع,"1,900,000",حطين,2025-11-20,سكني
https://wasalt.sa/property/sale/فيلا-390-متر-مربع-جنوبية-على-شارع-15م-5806953,فيلا 390 متر مربع جنوبية على شارع 15م,للبيع,"4,100,000",الياسمين,2025-11-20,سكني
https://wasalt.sa/property/sale/فيلا-450-متر-مربع-شمالية-على-شارع-15م-5806866,فيلا 450 متر مربع شمالية على شارع 15م,للبيع,"3,700,000",الياسمين,2025-11-20,سكني
